FID,PermitNo,FeatCLS,Contact,Source,National_I,Type_Flag,Shape_Leng,Shape_Area,Calc_Acres,QUAD_DESC,MINE_STATU,PER_NAME,REGION_DES,PERM_ACT,ACT_INAC,DATE_ISS,PER_TYPE,ORIG_PERM
10,0360055,SF,KY Division of Mine Permits,KGS Project,KY0360055,INACT,10571.32172,2835803.84,65.10109826,MARTIN,RC,M & W COAL CO INC,PRESTONSBURG,  AM      01/22/1982  NW      05/27/1981,Released,1981-05-27,INTERIM,0360055
11,0360059,SF,KY Division of Mine Permits,KGS Project,KY0360059,INACT,51753.89455,4245905.506,97.47257819,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  RV      02/23/1982  NW      09/01/1981,Released,1981-09-01,INTERIM,0360059
12,0360062,SF,KY Division of Mine Permits,KGS Project,KY0360062,INACT,54255.41463,8386108.317,192.5185564,IVYTON,RC,WOLVERINE MINING CORP,PRESTONSBURG,  MI      02/05/1990  RV      07/10/1987  RV      12/10/1985,Released,1981-10-06,INTERIM,0360062
13,0360063,SF,KY Division of Mine Permits,KGS Project,KY0360063,INACT,21127.46056,1224820.525,28.11801023,HAROLD,RC,HOMER SHORT COMPANY INC,PRESTONSBURG,  SU      05/31/1988  RV      03/16/1987  RV      03/10/1982,Released,1981-08-07,INTERIM,0360063
14,0360065,SF,KY Division of Mine Permits,KGS Project,KY0360065,INACT,1472.907806,46341.38319,1.063851772,LANCER,RC,DAVID F MAY II,PRESTONSBURG,  NW      07/17/1981,Released,1981-07-17,INTERIM,0360065
15,0360068,SF,KY Division of Mine Permits,KGS Project,KY0360068,INACT,37345.53879,6302621.237,144.6882745,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  RV      07/14/1982  NW      12/01/1981,Released,1981-12-01,INTERIM,0360068
16,0360069,SF,KY Division of Mine Permits,KGS Project,KY0360069,INACT,2354.165165,129289.1637,2.968070793,MARTIN,RC,CONAL COAL CO INC,PRESTONSBURG,  RV      09/23/1982  NW      01/27/1982,Released,1982-01-27,INTERIM,0360069
17,0360073,SF,KY Division of Mine Permits,KGS Project,KY0360073,INACT,7332.568597,549206.3997,12.60804407,HAROLD,RC,BIG D EXCAVATING,PRESTONSBURG,  MA      04/01/1988  NW      11/13/1981,Released,1981-11-13,INTERIM,0360073
18,0360078,SF,KY Division of Mine Permits,KGS Project,KY0360078,INACT,2662.9275,107022.3035,2.45689402,WAYLAND,RC,DENZIL RAY HALL,PRESTONSBURG,  RV      01/24/1983  NW      12/07/1981,Released,1981-12-07,INTERIM,0360078
19,0360080,SF,KY Division of Mine Permits,KGS Project,KY0360080,INACT,2612.051944,83767.60512,1.923039603,MARTIN,RC,A B C DEVELOPING COMPANY INC,PRESTONSBURG,  NW      01/12/1982,Released,1982-01-12,INTERIM,0360080
20,0360084,SF,KY Division of Mine Permits,KGS Project,KY0360084,INACT,8824.176475,472999.0898,10.85856496,HAROLD,RC,TRANSCONTINENTAL COAL PROC INC,PRESTONSBURG,  RV      06/22/1983  NW      03/11/1982,Released,1982-03-11,INTERIM,0360084
21,0360088,SF,KY Division of Mine Permits,KGS Project,KY0360088,INACT,32806.90455,2011003.169,46.16628028,PRESTONSBURG,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  RV      03/18/1987  RV      05/03/1985  NW      06/14/1982,Released,1982-06-14,INTERIM,0360088
22,0360090,SF,KY Division of Mine Permits,KGS Project,KY0360090,INACT,1287.581097,83049.77309,1.906560447,LANCER,FF,SEVEN TO ELEVEN MINING,PRESTONSBURG,  RV      03/19/1985  RN      03/18/1984  NW      03/18/1982,Released,1982-03-18,INTERIM,0360090
23,0360091,SF,KY Division of Mine Permits,KGS Project,KY0360091,INACT,42117.011,2846943.735,65.35683504,TIPTOP,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      02/10/1982,Released,1982-02-10,INTERIM,0360091
24,0360093,SF,KY Division of Mine Permits,KGS Project,KY0360093,INACT,5291.046292,713495.8876,16.37961175,MARTIN,RC,M & W COAL CO INC,PRESTONSBURG,  NW      03/04/1982,Released,1982-03-04,INTERIM,0360093
25,0360096,SF,KY Division of Mine Permits,KGS Project,KY0360096,INACT,1435.277566,112392.0726,2.580166956,WAYLAND,RC,JACKIE QUILLEN,PRESTONSBURG,  NW      03/12/1982,Released,1982-03-12,INTERIM,0360096
26,0360097,SF,KY Division of Mine Permits,KGS Project,KY0360097,INACT,14563.33182,845442.7491,19.40869488,WAYLAND,RC,APOLLO COAL COMPANY,PRESTONSBURG,  RV      07/30/1986  AM      09/13/1982  NW      03/25/1982,Released,1982-03-25,INTERIM,0360097
27,0360099,SF,KY Division of Mine Permits,KGS Project,KY0360099,INACT,21948.20692,4567468.168,104.8546411,WAYLAND,RC,BUCK COAL INC,PRESTONSBURG,  NW      04/15/1982,Released,1982-04-15,INTERIM,0360099
28,0360100,SF,KY Division of Mine Permits,KGS Project,KY0360100,INACT,6671.552446,930594.5184,21.36351052,WAVERLY,RC,TRANSCONTINENTAL COAL PROC INC,PRESTONSBURG,  SU      08/14/1984  RV      07/15/1982  NW      03/25/1982,Released,1982-03-25,INTERIM,0360100
29,0360105,SF,KY Division of Mine Permits,KGS Project,KY0360105,INACT,30509.8578,4542218.71,104.2749934,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      05/10/1982,Released,1982-05-10,INTERIM,0360105
30,0360107,SF,KY Division of Mine Permits,KGS Project,KY0360107,INACT,27012.60404,4835868.364,111.0162618,WAYLAND,RC,BUCK COAL INC,PRESTONSBURG,  NW      05/12/1982,Released,1982-05-12,INTERIM,0360107
31,0360109,SF,KY Division of Mine Permits,KGS Project,KY0360109,INACT,3507.194971,123760.6219,2.841152936,LANCER,RC,BRANHAM MINING COMPANY,PRESTONSBURG,  NW      07/14/1982,Released,1982-07-14,INTERIM,0360109
32,0360112,SF,KY Division of Mine Permits,KGS Project,KY0360112,INACT,1971.845231,89459.25646,2.053701939,MARTIN,RC,A D C DEVELOPMENT,PRESTONSBURG,  RN      09/28/1984  NW      06/14/1982,Released,1982-06-14,INTERIM,0360112
33,0360114,SF,KY Division of Mine Permits,KGS Project,KY0360114,INACT,2832.78649,269161.9748,6.179108696,HAROLD,RC,BIG D EXCAVATING,PRESTONSBURG,  NW      06/23/1982,Released,1982-06-23,INTERIM,0360114
34,0360115,SF,KY Division of Mine Permits,KGS Project,KY0360115,INACT,3874.839921,278686.4639,6.397760879,HAROLD,RC,BIG D EXCAVATING,PRESTONSBURG,  NW      07/17/1982,Released,1982-07-17,INTERIM,0360115
35,0360122,SF,KY Division of Mine Permits,KGS Project,KY0360122,INACT,21632.846,3312974.182,76.05542199,DAVID,RC,JORDAN COAL COMPANY INC,PRESTONSBURG,  NW      06/22/1982,Released,1982-06-22,INTERIM,0360122
36,0360123,SF,KY Division of Mine Permits,KGS Project,KY0360123,INACT,4855.954699,337151.573,7.7399351,MARTIN,RC,OMNI NATURAL RESOURCES,PRESTONSBURG,  MI      01/16/1989  RV      12/29/1982  NW      07/19/1982,Released,1982-07-19,INTERIM,0360123
37,0360125,SF,KY Division of Mine Permits,KGS Project,KY0360125,INACT,31901.4886,3708237.409,85.12941711,MARTIN,RC,H J & R COAL CO INC,PRESTONSBURG,  NW      07/15/1982,Released,1982-07-15,INTERIM,0360125
38,0360128,SF,KY Division of Mine Permits,KGS Project,KY0360128,INACT,20395.72454,5864997.979,134.6418269,HAROLD,RC,CARDO COAL CO CORP,PRESTONSBURG,  NW      07/14/1982,Released,1982-07-14,INTERIM,0360128
39,0360129,SF,KY Division of Mine Permits,KGS Project,KY0360129,INACT,42900.49132,2259279.723,51.86592568,MARTIN,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  RV      11/10/1986  RV      09/22/1983  NW      07/16/1982,Released,1982-07-16,INTERIM,0360129
40,0360133,SF,KY Division of Mine Permits,KGS Project,KY0360133,INACT,31094.43322,1430977.317,32.85071894,PRESTONSBURG,RC,L T RUTH COAL CO,PRESTONSBURG,  NW      07/15/1982,Released,1982-07-15,INTERIM,0360133
41,0360135,SF,KY Division of Mine Permits,KGS Project,KY0360135,INACT,59603.2373,3275718.057,75.20013905,MCDOWELL,FF,C & M MINING CO,PRESTONSBURG,  RV      12/22/1983  NW      07/19/1982,Released,1982-07-19,INTERIM,0360135
42,0360138,SF,KY Division of Mine Permits,KGS Project,KY0360138,INACT,9103.493733,2160158.432,49.59041395,MARTIN,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      07/06/1982,Released,1982-07-06,INTERIM,0360138
43,0360141,SF,KY Division of Mine Permits,KGS Project,KY0360141,INACT,12591.43488,3146003.729,72.22230782,MARTIN,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      07/09/1982,Released,1982-07-09,INTERIM,0360141
44,0365008,SF,KY Division of Mine Permits,KGS Project,KY0365008,INACT,4166.195273,104446.6193,2.397764447,HAROLD,RC,I & W COAL CO INC,PRESTONSBURG,  NW      11/22/1987,Released,1987-11-22,INTERIM,0365008
45,0365029,SF,KY Division of Mine Permits,KGS Project,KY0365029,INACT,8133.712567,378585.0143,8.69111603,HAROLD,RC,ORION COAL CORPORATION,PRESTONSBURG,  NW      06/15/1979,Released,1979-06-15,INTERIM,0365029
46,0365031,SF,KY Division of Mine Permits,KGS Project,KY0365031,INACT,5043.98079,93477.3883,2.145945553,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      08/02/1979,Released,1979-08-02,INTERIM,0365031
47,0365032,SF,KY Division of Mine Permits,KGS Project,KY0365032,INACT,2812.112219,54654.51161,1.254694941,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      03/28/1979,Released,1979-03-28,INTERIM,0365032
48,0365033,SF,KY Division of Mine Permits,KGS Project,KY0365033,INACT,6077.683766,117663.8994,2.701191447,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      03/14/1979,Released,1979-03-14,INTERIM,0365033
49,0365036,SF,KY Division of Mine Permits,KGS Project,KY0365036,INACT,2524.587644,92998.14418,2.134943622,WHEELWRIGHT,RC,ORCHARD FORK COAL CO INC,PRESTONSBURG,  RV      07/31/1979,Released,1979-07-31,INTERIM,0365036
50,0365037,SF,KY Division of Mine Permits,KGS Project,KY0365037,INACT,1544.666674,153214.0409,3.517310397,LANCER,FF,R D K COAL CO,PRESTONSBURG,  NW      10/08/1979,Released,1979-10-08,INTERIM,0365037
51,0365043,SF,KY Division of Mine Permits,KGS Project,KY0365043,INACT,849.9349595,35988.54655,0.826183346,HAROLD,RC,KISER BROTHERS COAL CO INC,PRESTONSBURG,  SU      12/21/1979,Released,1979-12-21,INTERIM,0365043
52,0365044,SF,KY Division of Mine Permits,KGS Project,KY0365044,INACT,8798.978847,174880.3045,4.014699368,HAROLD,RC,ORION COAL CORPORATION,PRESTONSBURG,  NW      11/26/1979,Released,1979-11-26,INTERIM,0365044
53,0365046,SF,KY Division of Mine Permits,KGS Project,KY0365046,INACT,3064.827312,58932.32356,1.35289999,MCDOWELL,RC,CHAZANDER MINING CO INC,PRESTONSBURG,  NW      10/11/1979,Released,1979-10-11,INTERIM,0365046
54,0365051,SF,KY Division of Mine Permits,KGS Project,KY0365051,INACT,12746.54802,328595.7446,7.543520307,LANCER,RC,BLACKHAWK MINING CO,PRESTONSBURG,  NW      02/25/1980,Released,1980-02-25,INTERIM,0365051
55,0365052,SF,KY Division of Mine Permits,KGS Project,KY0365052,INACT,5026.180527,353654.0273,8.118779323,LANCER,FF,LITTLE BIT COAL ENTERPRISES INC,PRESTONSBURG,  NW      05/09/1980,Released,1980-05-09,INTERIM,0365052
56,0365057,SF,KY Division of Mine Permits,KGS Project,KY0365057,INACT,12647.29211,325040.228,7.461896878,HAROLD,RC,G & L COAL CO INC,PRESTONSBURG,  RV      08/18/1982  NW      12/16/1980,Released,1980-12-16,INTERIM,0365057
57,0365062,SF,KY Division of Mine Permits,KGS Project,KY0365062,INACT,7252.49236,416402.7413,9.559291581,DAVID,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  RV      08/24/1981  NW      05/01/1980,Released,1980-05-01,INTERIM,0365062
58,0365065,SF,KY Division of Mine Permits,KGS Project,KY0365065,INACT,2885.746104,57101.73811,1.310875531,WHEELWRIGHT,RC,GOLDEN AGE COAL CO,PRESTONSBURG,  MA      11/18/1987  NW      05/09/1980,Released,1980-05-09,INTERIM,0365065
59,0365066,SF,KY Division of Mine Permits,KGS Project,KY0365066,INACT,4723.639362,128392.4916,2.947486033,MARTIN,RC,M & W COAL CO INC,PRESTONSBURG,  RV      11/09/1981  NW      04/25/1980,Released,1980-04-25,INTERIM,0365066
60,0365067,SF,KY Division of Mine Permits,KGS Project,KY0365067,INACT,5667.100887,218362.4224,5.012911442,MARTIN,RC,G & D COALS INC,PRESTONSBURG,  RV      09/28/1983  RV      01/23/1981  NW      05/08/1980,Released,1980-05-08,INTERIM,0365067
61,0365069,SF,KY Division of Mine Permits,KGS Project,KY0365069,INACT,2532.531001,161736.4982,3.712959097,MARTIN,RC,M & W COAL CO INC,PRESTONSBURG,  AM      10/27/1981  NW      05/20/1980,Released,1980-05-20,INTERIM,0365069
62,0365072,SF,KY Division of Mine Permits,KGS Project,KY0365072,INACT,1330.288813,52218.06876,1.198761909,WAYLAND,RC,T & H COAL COMPANY INC,PRESTONSBURG,  RV      11/26/1980  NW      04/16/1980,Released,1980-04-16,INTERIM,0365072
63,0365073,SF,KY Division of Mine Permits,KGS Project,KY0365073,INACT,847.9744121,14834.15568,0.340545355,MCDOWELL,RC,J R M COAL COMPANY INC,PRESTONSBURG,  RV      04/14/1980,Released,1980-04-14,INTERIM,0365073
64,0365079,SF,KY Division of Mine Permits,KGS Project,KY0365079,INACT,1900.215978,42183.20429,0.96839312,MCDOWELL,RC,MINK BRANCH COAL CO,PRESTONSBURG,  NW      11/05/1980,Released,1980-11-05,INTERIM,0365079
65,0365081,SF,KY Division of Mine Permits,KGS Project,KY0365081,INACT,1659.001239,30852.49587,0.708275846,MCDOWELL,RC,J R M COAL COMPANY INC,PRESTONSBURG,  RV      01/28/1981  NW      06/30/1980,Released,1980-06-30,INTERIM,0365081
66,0365086,SF,KY Division of Mine Permits,KGS Project,KY0365086,INACT,20689.3701,582846.515,13.38031485,HAROLD,RC,BUCK COAL INC,PRESTONSBURG,  SU      12/16/1983  AM      08/24/1981  NW      07/21/1980,Released,1980-07-21,INTERIM,0365086
67,0365098,SF,KY Division of Mine Permits,KGS Project,KY0365098,INACT,2291.383036,45424.30276,1.042798502,MCDOWELL,RC,NEWMAN BROTHERS MINING INC,PRESTONSBURG,  NW      09/26/1980,Released,1980-09-26,INTERIM,0365098
68,0365101,SF,KY Division of Mine Permits,KGS Project,KY0365101,INACT,982.0551869,30604.9807,0.70259368,MCDOWELL,RC,MELANA COAL CO,PRESTONSBURG,  NW      09/02/1980,Released,1980-09-02,INTERIM,0365101
69,0365105,SF,KY Division of Mine Permits,KGS Project,KY0365105,INACT,2168.268944,118968.911,2.731150391,WHEELWRIGHT,RC,BUCKINGHAM COAL CO INC,PRESTONSBURG,  RV      09/03/1982  RV      04/10/1981  NW      10/29/1980,Released,1980-10-29,INTERIM,0365105
70,0365107,SF,KY Division of Mine Permits,KGS Project,KY0365107,INACT,952.7293738,39982.24324,0.917866006,PRESTONSBURG,RC,OLD STYLE MINING COMPANY INC,PRESTONSBURG,  NW      03/16/1981,Released,1981-03-16,INTERIM,0365107
71,0365110,SF,KY Division of Mine Permits,KGS Project,KY0365110,INACT,8005.719355,207644.7545,4.766867643,MCDOWELL,RC,KENTUCKY COAL CO,PRESTONSBURG,  NW      04/06/1981,Released,1981-04-06,INTERIM,0365110
72,0365112,SF,KY Division of Mine Permits,KGS Project,KY0365112,INACT,2723.520751,125459.627,2.880156727,HAROLD,FF,LONE OAK MINING,PRESTONSBURG,  RV      12/08/1981  NW      04/21/1981,Released,1981-04-21,INTERIM,0365112
73,0365114,SF,KY Division of Mine Permits,KGS Project,KY0365114,INACT,5570.56527,140886.0716,3.234299164,HAROLD,FF,EAST KY MINING INC,PRESTONSBURG,  RV      04/15/1982  NW      03/16/1981,Released,1981-03-16,INTERIM,0365114
74,0365118,SF,KY Division of Mine Permits,KGS Project,KY0365118,INACT,2973.140767,232127.7816,5.328920606,DAVID,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      01/30/1981,Released,1981-01-30,INTERIM,0365118
75,0365124,SF,KY Division of Mine Permits,KGS Project,KY0365124,INACT,10155.61443,593679.995,13.62901733,WAYLAND,RC,BUCK COAL INC,PRESTONSBURG,  RV      07/01/1982  NW      03/27/1981,Released,1981-03-27,INTERIM,0365124
76,0365125,SF,KY Division of Mine Permits,KGS Project,KY0365125,INACT,2193.13726,259169.3028,5.949708513,MARTIN,RC,BUCK COAL INC,PRESTONSBURG,  NW      09/24/1981,Released,1981-09-24,INTERIM,0365125
77,0365135,SF,KY Division of Mine Permits,KGS Project,KY0365135,INACT,1355.353323,106893.9709,2.453947909,HAROLD,RC,MISTY COAL CO,PRESTONSBURG,  NW      06/25/1981,Released,1981-06-25,INTERIM,0365135
78,0365146,SF,KY Division of Mine Permits,KGS Project,KY0365146,INACT,2147.814299,60055.00075,1.378673112,MARTIN,RC,DIXIE COAL COMPANY,PRESTONSBURG,  MI      09/13/1989  NW      11/10/1981,Released,1981-11-10,INTERIM,0365146
79,0365152,SF,KY Division of Mine Permits,KGS Project,KY0365152,INACT,6422.275168,130553.1509,2.997087945,WHEELWRIGHT,RC,BAILEY MINING COMPANY INCORPORATED,PRESTONSBURG,  RV      10/14/1982  NW      02/03/1982,Released,1982-02-03,INTERIM,0365152
80,0365154,SF,KY Division of Mine Permits,KGS Project,KY0365154,INACT,1151.438891,65599.30601,1.505952847,WHEELWRIGHT,RC,BAILEY MINING COMPANY INCORPORATED,PRESTONSBURG,  NW      03/19/1982,Released,1982-03-19,INTERIM,0365154
81,0365155,SF,KY Division of Mine Permits,KGS Project,KY0365155,INACT,1922.086481,83623.38906,1.919728858,HAROLD,RC,C R O W D MINE NO 1,PRESTONSBURG,  NW      07/17/1982,Released,1982-07-17,INTERIM,0365155
82,0365156,SF,KY Division of Mine Permits,KGS Project,KY0365156,INACT,2463.270602,139887.8906,3.211384082,LANCER,RC,HOP HOLLOW MINING CO,PRESTONSBURG,  RV      04/16/1982  NW      01/27/1982,Released,1982-01-27,INTERIM,0365156
83,0365157,SF,KY Division of Mine Permits,KGS Project,KY0365157,INACT,1956.371572,38933.73186,0.893795497,WHEELWRIGHT,RC,DOG BRANCH MINING CO,PRESTONSBURG,  NW      01/19/1982,Released,1982-01-19,INTERIM,0365157
84,0365165,SF,KY Division of Mine Permits,KGS Project,KY0365165,INACT,6418.571545,438172.471,10.05905581,MARTIN,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      03/11/1982,Released,1982-03-11,INTERIM,0365165
85,0365166,SF,KY Division of Mine Permits,KGS Project,KY0365166,INACT,7080.017976,379696.618,8.716634939,WAYLAND,RC,GUM BRANCH COAL CO INC,PRESTONSBURG,  NW      02/24/1982,Released,1982-02-24,INTERIM,0365166
86,0365171,SF,KY Division of Mine Permits,KGS Project,KY0365171,INACT,2177.976348,95979.0628,2.203376097,PRESTONSBURG,RC,BUSH & BURCHETT INC,PRESTONSBURG,  NW      05/17/1982,Released,1982-05-17,INTERIM,0365171
87,0365175,SF,KY Division of Mine Permits,KGS Project,KY0365175,INACT,2630.773761,51346.77048,1.178759653,HAROLD,RC,PRATER CREEK MINING INC,PRESTONSBURG,  SU      06/09/1982,Released,1982-06-09,INTERIM,0365175
88,0365178,SF,KY Division of Mine Permits,KGS Project,KY0365178,INACT,2721.734134,52867.9986,1.213682245,WHEELWRIGHT,RC,BAILEY MINING COMPANY INCORPORATED,PRESTONSBURG,  NW      04/19/1982,Released,1982-04-19,INTERIM,0365178
89,0365179,SF,KY Division of Mine Permits,KGS Project,KY0365179,INACT,9940.944326,216916.27,4.979712351,MCDOWELL,RC,H & R COAL,PRESTONSBURG,  NW      06/08/1982,Released,1982-06-08,INTERIM,0365179
90,0365188,SF,KY Division of Mine Permits,KGS Project,KY0365188,INACT,387.3660409,9313.024661,0.213797628,MCDOWELL,RC,WHEELWRIGHT MINING INC,PRESTONSBURG,  NW      07/14/1982,Released,1982-07-14,INTERIM,0365188
91,0365190,SF,KY Division of Mine Permits,KGS Project,KY0365190,INACT,4071.723603,502970.1167,11.54660507,WAYLAND,RC,BUCK COAL INC,PRESTONSBURG,  NW      07/02/1982,Released,1982-07-02,INTERIM,0365190
92,0365194,SF,KY Division of Mine Permits,KGS Project,KY0365194,INACT,2529.649414,77076.14252,1.769424759,MCDOWELL,RC,TRI WAY COAL CO INC,PRESTONSBURG,  NW      05/25/1982,Released,1982-05-25,INTERIM,0365194
93,0365195,SF,KY Division of Mine Permits,KGS Project,KY0365195,INACT,3398.912809,82620.00716,1.896694379,MARTIN,RC,DIXIE COAL COMPANY,PRESTONSBURG,  RV      01/30/1984  NW      07/17/1982,Released,1982-07-17,INTERIM,0365195
94,0365197,SF,KY Division of Mine Permits,KGS Project,KY0365197,INACT,5925.807353,136561.358,3.135017402,MARTIN,FF,M & M EXTRACTION,PRESTONSBURG,  SU      12/22/1983  RV      12/14/1982  NW      06/08/1982,Released,1982-06-08,INTERIM,0365197
95,0365199,SF,KY Division of Mine Permits,KGS Project,KY0365199,INACT,2035.510772,39179.92753,0.899447372,WAYLAND,RC,APOLLO COAL COMPANY,PRESTONSBURG,  NW      06/23/1982,Released,1982-06-23,INTERIM,0365199
96,0365200,SF,KY Division of Mine Permits,KGS Project,KY0365200,INACT,10122.20841,246908.6138,5.668241823,DAVID,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      06/11/1982,Released,1982-06-11,INTERIM,0365200
97,0365201,SF,KY Division of Mine Permits,KGS Project,KY0365201,INACT,8088.248262,201056.0018,4.615610694,WHEELWRIGHT,RC,STAR LITE MINING CO INC,PRESTONSBURG,  NW      06/16/1982,Released,1982-06-16,INTERIM,0365201
98,0365202,SF,KY Division of Mine Permits,KGS Project,KY0365202,INACT,1284.714408,24900.06176,0.571626762,MCDOWELL,RC,GUM BRANCH COAL CO INC,PRESTONSBURG,  SU      06/22/1982,Released,1982-06-22,INTERIM,0365202
99,0365204,SF,KY Division of Mine Permits,KGS Project,KY0365204,INACT,5684.78307,176800.5431,4.058781982,PRESTONSBURG,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      07/01/1982,Released,1982-07-01,INTERIM,0365204
100,0365205,SF,KY Division of Mine Permits,KGS Project,KY0365205,INACT,1964.134948,167255.762,3.839663958,LANCER,RC,LEVISA ENERGIES INC,PRESTONSBURG,  NW      07/15/1982,Released,1982-07-15,INTERIM,0365205
101,0365206,SF,KY Division of Mine Permits,KGS Project,KY0365206,INACT,15576.41009,561739.0324,12.89575373,MARTIN,RC,BRANHAM & BAKER COAL COMPANY INC,PRESTONSBURG,  NW      07/07/1982,Released,1982-07-07,INTERIM,0365206
102,0365207,SF,KY Division of Mine Permits,KGS Project,KY0365207,INACT,2278.475752,55842.66667,1.281971227,LANCER,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      07/17/1982,Released,1982-07-17,INTERIM,0365207
103,0365218,SF,KY Division of Mine Permits,KGS Project,KY0365218,INACT,2912.1806,60784.10307,1.395410998,MARTIN,RC,NORTHERN ELKHORN COAL COMPANY,PRESTONSBURG,  NW      07/19/1982,Released,1982-07-19,INTERIM,0365218
104,0365219,SF,KY Division of Mine Permits,KGS Project,KY0365219,INACT,3696.184544,192059.1523,4.409071447,MARTIN,RC,NORTHERN ELKHORN COAL COMPANY,PRESTONSBURG,  NW      07/14/1982,Released,1982-07-14,INTERIM,0365219
105,0365220,SF,KY Division of Mine Permits,KGS Project,KY0365220,INACT,3942.265042,75539.11051,1.73413936,PRESTONSBURG,RC,L T RUTH COAL CO,PRESTONSBURG,  NW      07/16/1982,Released,1982-07-16,INTERIM,0365220
106,0367001,SF,KY Division of Mine Permits,KGS Project,KY0367001,INACT,33049.64041,654104.6995,15.01617767,HAROLD,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      09/29/1981,Released,1981-09-29,INTERIM,0367001
107,0368002,SF,KY Division of Mine Permits,KGS Project,KY0368002,INACT,5327.038965,103547.5093,2.377123721,LANCER,RC,TRIPLE ELKHORN MINING CO,PRESTONSBURG,  NW      02/03/1982,Released,1982-02-03,INTERIM,0368002
108,0600044,SF,KY Division of Mine Permits,KGS Project,KY0600044,INACT,17219.19727,1441249.397,33.08653344,HINDMAN,FF,GRATESIDE COAL CO INC,PRESTONSBURG,  RV      03/14/1983  AM      03/22/1982  AM      05/29/1981,Released,1980-10-21,INTERIM,0600044
